LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-03,101.1335,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-04,100.8635,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-05,100.5996,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-06,100.3758,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-07,100.2544,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-08,100.2977,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-09,100.4362,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-10,100.5941,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-11,100.7191,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2006-12,100.7931,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-01,100.791,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-02,100.6913,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-03,100.5625,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-04,100.4937,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-05,100.5557,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-06,100.7013,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-07,100.8712,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-08,101.0173,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-09,101.1009,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-10,101.0593,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-11,100.8343,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2007-12,100.5259,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-01,100.2525,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-02,100.0944,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-03,100.0023,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-04,99.89919,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-05,99.7162,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-06,99.43981,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-07,99.04207,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-08,98.50433,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-09,97.96244,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-10,97.59875,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-11,97.53839,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2008-12,97.56739,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-01,97.38945,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-02,96.79348,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-03,96.02803,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-04,95.44286,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-05,95.29993,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-06,95.40419,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-07,95.49916,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-08,95.41527,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-09,95.22752,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-10,95.0868,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-11,95.15492,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2009-12,95.49275,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-01,96.24468,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-02,97.5535,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-03,99.06104,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-04,100.3118,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-05,100.9575,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-06,101.2192,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-07,101.3531,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-08,101.5021,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-09,101.6732,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-10,101.8135,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-11,101.8639,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2010-12,101.8431,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-01,101.7689,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-02,101.6516,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-03,101.5395,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-04,101.4959,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-05,101.5713,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-06,101.7061,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-07,101.8241,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-08,101.8656,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-09,101.8385,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-10,101.7481,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-11,101.5965,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2011-12,101.4447,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-01,101.368,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-02,101.4109,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-03,101.4678,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-04,101.38,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-05,101.0194,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-06,100.5165,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-07,100.0317,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-08,99.66876,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-09,99.36969,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-10,99.05353,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-11,98.69067,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2012-12,98.39448,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-01,98.36313,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-02,98.75468,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-03,99.29735,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-04,99.62787,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-05,99.47862,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-06,99.07697,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-07,98.73309,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-08,98.6802,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-09,98.85704,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-10,99.1853,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-11,99.61734,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2013-12,100.0326,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-01,100.2825,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-02,100.2529,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-03,100.0908,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-04,99.98165,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-05,100.0588,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-06,100.26,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-07,100.5027,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-08,100.7356,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-09,100.9488,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-10,101.137,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-11,101.2831,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2014-12,101.3666,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-01,101.3293,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-02,101.1046,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-03,100.7669,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-04,100.3913,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-05,100.0262,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-06,99.70435,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-07,99.47108,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-08,99.36902,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-09,99.33469,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-10,99.30054,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-11,99.22926,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2015-12,99.14796,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-01,99.10712,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-02,99.14963,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-03,99.23933,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-04,99.33082,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-05,99.39202,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-06,99.42496,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-07,99.43266,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-08,99.41428,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-09,99.38545,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-10,99.36864,
