Country Name,Country Code,2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2019 [YR2019] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2020 [YR2020] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2021 [YR2021] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Philippines,PHL,2974.29953130009,3130.91339301133,3289.47515964885,3439.10354644511,3589.61679192751,3195.54169165164,3327.68081556031
Poland,POL,12560.051419682,12936.5732568387,13599.8180191148,14408.384388723,15053.2323676784,14774.989199307,15850.2855122104
Portugal,PRT,19250.1065376852,19700.9100016775,20441.4858041084,21057.6174784232,21617.411624379,19802.2290212165,20831.0870139963
Puerto Rico,PRI,29763.4883013861,29961.7528224649,29809.2177040267,29687.2064763276,30181.2724849071,28094.5983667684,28307.7535935621
Qatar,QAT,66984.9102002396,64233.2622149736,60551.0200448825,60080.696551117,59672.6415484228,58476.1994291413,61000.8325576267
Romania,ROU,8976.88053477541,9286.51964587238,10105.9343511933,10778.3595556176,11252.7929110931,10898.8316332686,11541.7769263214
Russian Federation,RUS,9313.013671875,9313.9677734375,9473.1796875,9739.900390625,9958.4609375,9713.3681640625,10216.251953125
Rwanda,RWA,733.441121804147,758.475294777665,769.326034757878,815.234930662625,871.279521356256,822.073813542986,890.187201065363
Samoa,WSM,4048.51387550813,4329.77768214802,4346.55479587461,4277.39142169562,4421.34561483944,4223.63695740135,3855.61357541312
San Marino,SMR,42281.643467688,42935.2469530927,42765.530106849,43277.3296749396,44142.8704677228,41415.5026131761,..
Sao Tome and Principe,STP,1571.4985399244,1608.88567800348,1643.47264158121,1665.39571641412,1676.39631287316,1695.17128277048,1692.43530980748
Saudi Arabia,SAU,19977.7946924217,19906.4823881745,19309.9577248811,19329.0706279164,18955.5463509722,18085.5415738719,18695.941727851
Senegal,SEN,1238.12639559545,1281.710181532,1339.56799664854,1384.64206999598,1409.97081603748,1390.81952495616,1436.65361378016
Serbia,SRB,5588.98072768556,5805.89939594274,5959.52267314354,6261.52713908381,6567.90956383791,6552.0858960946,7113.57687910123
Seychelles,SYC,15157.5302874866,15756.7401303451,16267.201968886,16628.1304254762,16992.0323979001,15551.5577973275,16639.6821857226
Sierra Leone,SLE,576.740231738962,597.042907189143,607.194187735271,613.549461680858,630.896017541675,604.417302213392,615.277952955416
Singapore,SGP,55646.6187469505,56885.7187229482,59484.685464386,61373.6484785038,61340.1661723862,58982.4609149611,66176.3870010699
Sint Maarten (Dutch part),SXM,32274.8905524359,31507.8689258878,29237.8460926268,27093.797137995,..,..,..
Slovak Republic,SVK,16390.8821748507,16687.9844571492,17151.652477668,17818.2341072167,18242.4950003779,17611.7568566409,18181.1969542578
